K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:
K00339	nuoJ	NADH-quinone oxidoreductase subunit J [EC:
K00340	nuoK	NADH-quinone oxidoreductase subunit K [EC:
K00341	nuoL	NADH-quinone oxidoreductase subunit L [EC:
K00342	nuoM	NADH-quinone oxidoreductase subunit M [EC:
K00343	nuoN	NADH-quinone oxidoreductase subunit N [EC:
K00344	CRYZ	NADPH2:quinone reductase [EC:
K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:
K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:
K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:
K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:
K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:
K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:
K00354	E1.6.99.1	NADPH2 dehydrogenase [EC:
K00355	NQO1	NAD(P)H dehydrogenase (quinone) [EC:
K00356	E1.6.99.3	NADH dehydrogenase [EC:
K00357	QDPR	dihydropteridine reductase [EC:
K00360	nasB	assimilatory nitrate reductase electron transfer subunit [EC:
K00362	nirB	nitrite reductase (NADH) large subunit [EC:
K00363	nirD	nitrite reductase (NADH) small subunit [EC:
K00364	GMPR 	GMP reductase [EC:
K00365	uaZ	urate oxidase [EC:
K00366	nirA	ferredoxin-nitrite reductase [EC:
K00367	narB	ferredoxin-nitrate reductase [EC:
K00368	nirK	nitrite reductase (NO-forming) [EC:
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:
K00372	nasA	assimilatory nitrate reductase catalytic subunit [EC:
K00373	narJ, narW	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	narI, narV	nitrate reductase gamma subunit [EC:
K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ	nitrous-oxide reductase [EC:
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component [EC:
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component [EC:
K00382	DLD	dihydrolipoamide dehydrogenase [EC:
K00383	GSR	glutathione reductase (NADPH) [EC:
K00384	TXNRD2 	thioredoxin reductase (NADPH) [EC:
K00385	asrC	anaerobic sulfite reductase subunit C
K00387	SUOX	sulfite oxidase [EC:
K00389	yidH	putative membrane protein
K00390	cysH	phosphoadenosine phosphosulfate reductase [EC:
K00392	sir	sulfite reductase (ferredoxin) [EC:
K00394	aprA	adenylylsulfate reductase, subunit A [EC:
K00395	aprB	adenylylsulfate reductase, subunit B [EC:
K00399	mcrA	methyl-coenzyme M reductase alpha subunit [EC:
K00400	K00400	methyl coenzyme M reductase system, component A2
K00401	mcrB	methyl-coenzyme M reductase beta subunit [EC:
K00402	mcrG	methyl-coenzyme M reductase gamma subunit [EC:
K00404	ccoN	cytochrome c oxidase cbb3-type subunit I [EC:
K00405	ccoO	cytochrome c oxidase cbb3-type subunit II
K00406	ccoP	cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV
K00408	WNT4	wingless-type MMTV integration site family, member 4
K00410	fbcH	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411	UQCRFS1	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:
K00412	CYTB	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00414	UQCRC1	ubiquinol-cytochrome c reductase core subunit 1
K00415	UQCRC2	ubiquinol-cytochrome c reductase core subunit 2
K00416	UQCRHL 	ubiquinol-cytochrome c reductase subunit 6
K00417	UQCRB	ubiquinol-cytochrome c reductase subunit 7
K00418	UQCRQ	ubiquinol-cytochrome c reductase subunit 8
K00419	UQCR10	ubiquinol-cytochrome c reductase subunit 9
K00420	UQCR11	ubiquinol-cytochrome c reductase subunit 10
K00422	E1.10.3.1	polyphenol oxidase [EC:
K00423	E1.10.3.3	L-ascorbate oxidase [EC:
K00425	cydA	cytochrome d ubiquinol oxidase subunit I [EC:
K00426	cydB	cytochrome d ubiquinol oxidase subunit II [EC:
K00427	lldP, lctP	L-lactate permease
K00428	E1.11.1.5	cytochrome c peroxidase [EC:
K00430	E1.11.1.7	peroxidase [EC:
K00431	TPO	thyroid peroxidase [EC:
K00432	GPX6 	glutathione peroxidase [EC:
K00433	cpo	non-heme chloroperoxidase [EC:
K00434	E1.11.1.11	L-ascorbate peroxidase [EC:
K00435	hemQ	Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]
K00436	hoxH	NAD-reducing hydrogenase large subunit [EC:
K00437	hydB	[NiFe] hydrogenase large subunit [EC:
K00440	frhA	coenzyme F420 hydrogenase subunit alpha [EC:
K00441	frhB	coenzyme F420 hydrogenase subunit beta [EC:
K00442	frhD	coenzyme F420 hydrogenase subunit delta
K00443	frhG	coenzyme F420 hydrogenase subunit gamma [EC:
K00444	WNT5A 	wingless-type MMTV integration site family, member 5
K00445	WNT6	wingless-type MMTV integration site family, member 6
K00446	dmpB, xylE	catechol 2,3-dioxygenase [EC:
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit [EC:
K00449	pcaH	protocatechuate 3,4-dioxygenase, beta subunit [EC:
K00450	E1.13.11.4	gentisate 1,2-dioxygenase [EC:
K00451	HGD	homogentisate 1,2-dioxygenase [EC:
K00452	HAAO	3-hydroxyanthranilate 3,4-dioxygenase [EC:
K00453	TDO2	tryptophan 2,3-dioxygenase [EC:
K00454	LOX2S	lipoxygenase [EC:
K00455	hpaD, hpcB	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:
K00456	CDO1	cysteine dioxygenase [EC:
K00457	HPD	4-hydroxyphenylpyruvate dioxygenase [EC:
K00458	ALOX12	arachidonate 12-lipoxygenase [EC:
K00459	ncd2, npd	nitronate monooxygenase [EC:
K00460	ALOX15	arachidonate 15-lipoxygenase [EC:
K00461	ALOX5	arachidonate 5-lipoxygenase [EC:
K00462	bphC	biphenyl-2,3-diol 1,2-dioxygenase [EC:
K00463	IDO2 	indoleamine 2,3-dioxygenase [EC:
K00464	diox1	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:
K00466	E1.13.12.3	tryptophan 2-monooxygenase [EC:
K00467	E1.13.12.4	lactate 2-monooxygenase [EC:
K00469	MIOX	inositol oxygenase [EC:
K00471	BBOX1	gamma-butyrobetaine dioxygenase [EC:
K00472	P4HA3 	prolyl 4-hydroxylase [EC:
K00473	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [EC:
K00474	TMLHE	trimethyllysine dioxygenase [EC:
K00475	E1.14.11.9	naringenin 3-dioxygenase [EC:
K00476	ASPH	aspartate beta-hydroxylase [EC:
K00477	PHYH	phytanoyl-CoA hydroxylase [EC:
K00478	HR	lysine-specific demethylase hairless [EC:1.14.11.-]
K00479	K00479	Rieske 2Fe-2S family protein
K00480	E1.14.13.1	salicylate hydroxylase [EC:
K00481	pobA	p-hydroxybenzoate 3-monooxygenase [EC:
K00483	hpaB	4-hydroxyphenylacetate 3-monooxygenase [EC:
K00484	hpaC	flavin reductase (NADH) [EC:
K00485	FMO1 	dimethylaniline monooxygenase (N-oxide forming) [EC:
K00486	KMO	kynurenine 3-monooxygenase [EC:
K00487	CYP73A	trans-cinnamate 4-monooxygenase [EC:
K00488	CYP27A1	cholestanetriol 26-monooxygenase [EC:
K00489	CYP7A1	cholesterol 7alpha-monooxygenase [EC:
K00490	CYP4F	cytochrome P450 family 4 subfamily F [EC:
